1.0,32.312680084,7.467092498405824,1.0,6.93611758586895,-7.138781788179228,-9.122162075657801,1.9814270136986605,-3.2424640885533442,0.0009429664564552698,0.006154569078452055,-4.116562441983707
2.0,12.796372042,2.9504134414522056,0.0,10.025331577916985,-8.451467906667398,-10.654611040855915,0.9939115006292086,-2.148783928600504,0.00034384612133309583,0.010018849805707981,-4.741360049937416
3.0,2.567754375,6.997265448318053,0.0,9.888042605980857,-6.941030965296359,-12.492828859434956,2.435023875786693,-3.0962157986664796,0.0001283183883879289,0.08391508664128476,-3.603396256393148
4.0,4.013296625,6.651586844906941,1.0,11.679273970200118,-11.25238981377757,-12.527225044300728,2.72129575094464,-4.372665,0.000689969150845635,-0.05109499929489109,-2.4381309451783237
5.0,2.501693333,7.3174010589053555,1.0,7.084636197288937,-9.73064095315432,-12.438662518898266,1.2097578778641886,-4.372665,0.0009106142415453801,0.1,-4.78387803101224
6.0,1.48727,7.220037162202666,1.0,9.393860490989098,-12.934272113078833,-7.1091805839130275,2.9695334078295956,-2.153061289507988,0.001,-0.0999999935306893,-3.6489649403839883
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
8.0,2.258567667,7.3501418705883665,1.0,6.727907483848767,-8.68159902536016,-12.771185411279284,0.9939115,-3.8023591224510973,0.0009599834359498484,0.039668544790165614,-3.291378443014267
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
11.0,3.15325625,7.360084171006263,1.0,10.48020550277734,-14.610408081410633,-12.19228969739902,1.5107252875787105,-3.5705709648045976,0.0006182818962011421,0.07684797693656108,-3.802498182517447
12.0,1.918460375,7.475744210032501,1.0,10.554224651100121,-14.057859739291313,-11.317098535479559,2.674528975493323,-2.770555628013857,0.0006626667247228101,0.03371863196003722,-4.6720168982453725
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
15.0,2.378970291,7.183446588438311,1.0,5.519024166613388,-14.263641529950608,-6.247621823035992,1.135322401798499,-2.0075816761128302,0.0005838658265918952,0.03363369057076693,-4.609297747708958
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
17.0,1.959246459,7.772569575312872,1.0,5.9361483160096675,-11.329829644456037,-13.086391442749289,1.4061628203254661,-4.372665,0.001,0.028089732461119937,-2.349535652022867
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
21.0,0.478783459,8.054241086662767,1.0,8.563674513001736,-13.551837553063274,-10.12445175181451,1.2078191817202029,-2.209306718560494,7.047149450406055e-5,0.06695021379407122,-4.216855195128402
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
23.0,2.827492166,7.221070045945,1.0,5.610962336557802,-9.128618618154459,-11.593713197548398,1.0736161653974616,-1.6059904392086848,1.0e-5,-0.0063817304279188605,-1.7144623551242917
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
25.0,2.168124458,7.299978340172174,1.0,6.977722871075888,-9.803463286731821,-7.536674803573272,2.878614068378361,-1.756528256386497,1.0e-5,-0.007517546873555462,-3.481019513343104
26.0,3.786504208,7.89091874567168,1.0,5.746272340046202,-13.623982190231073,-6.842803197901846,1.9938503791066027,-2.066436315427424,0.001,-0.02380863133043839,-2.7673025526161856
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
28.0,0.849423375,7.66437786274785,1.0,10.180317731458816,-10.711971555147091,-10.747762727140273,2.2527248952274674,-1.611854532330029,0.0009951573137122322,-0.08928422617312654,-4.240281215791334
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
30.0,0.90047425,7.897091075742741,1.0,6.855448702648665,-8.078511131162594,-9.759718056033291,2.2735160432534305,-1.5239235839673202,0.001,0.02060578318264457,-1.731569910107077
31.0,1.284523875,7.7657801772059285,1.0,11.974711148440383,-13.62147120651648,-8.516046601066515,2.9817345,-1.9395563780891487,0.000999976009600744,-0.09999999186490746,-3.6465538131279533
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
34.0,4.2446355,8.394882206826905,1.0,13.564948367619202,-11.880318263631631,-5.2252511476171035,2.1893132419158885,-1.7672800578550243,0.0002109112021661488,0.06550549272056101,-3.680537819404889
35.0,1.422821708,7.78703758824194,1.0,5.623427599447141,-14.287549245051164,-13.48767477875394,0.9939123723112776,-4.372665,0.001,0.08826854864462678,-4.73691172677604
777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0
37.0,2.330469792,7.307152793804514,1.0,6.510397088534052,-10.55699479308095,-7.200709274569134,2.369416070884342,-3.0126496840559525,0.00047069302982906093,0.010276102045455726,-2.6776803365856505
38.0,2.660503292,6.972808599657705,1.0,7.519488148229639,-7.139252664267432,-11.476999234398859,1.9511324922864777,-3.3992971215368017,1.0e-5,-0.004478522590906999,-2.875813363950098
